name,email,ssn,phone_number,drugs,marital status
Griffin Spears,metus.Aenean@justofaucibus.edu,052-89-6340,1-609-529-6386,APAP/Codeine,Married
Theodore Kim,aliquam.iaculis@urna.co.uk,591-59-1129,1-519-448-6170,Lovastatin,Married
Kieran Fletcher,Quisque.imperdiet@rhoncusProinnisl.org,099-49-9523,1-505-428-2353,Triamterene/Hydrochlorothiazide,Common-Law
Griffin Spears,metus.Aenean@justofaucibus.edu,052-89-6340,1-609-529-6386,Amlodipine Besylate,Married
Russell Gross,Vestibulum.ante.ipsum@fringillaporttitorvulputate.org,624-60-2852,1-766-854-8315,Simvastatin,Single
Adam Forbes,montes.nascetur.ridiculus@arcuetpede.net,225-86-9957,1-198-709-5407,Levothyroxine Sodium,Married
Keane Riddle,magna.Lorem@loremipsumsodales.co.uk,023-05-8570,1-962-268-2199,Simvastatin,Common-Law
Raphael Suarez,Aliquam.nisl@idrisusquis.ca,036-04-6247,1-855-739-1079,Amlodipine Besylate,Married
Paul Kirk,Proin@loremDonec.edu,715-99-4240,1-915-318-2961,Carisoprodol,Divorced
Kennan Hendricks,convallis.ligula@nonenim.edu,581-42-9100,1-129-511-7578,Namenda,Married
Berk Brown,sit.amet.consectetuer@arcuimperdiet.edu,468-96-1118,1-690-885-8291,Sertraline HCl,Single
Julian Matthews,imperdiet@auguescelerisquemollis.ca,817-22-9762,1-159-185-4994,Gabapentin,Common-Law
Craig Medina,non.magna@utmi.net,011-65-8945,1-654-520-0128,Risperidone,Common-Law
Derek Rios,Nam.tempor@primis.com,725-97-7734,1-450-818-7783,Metformin HCl,Single
Kyle Britt,Etiam@ornarelectusjusto.co.uk,364-49-8677,1-379-281-9589,Cymbalta,Married
Seth Olson,enim.gravida@ametmetus.co.uk,321-71-7416,1-711-789-1771,Amoxicillin,Common-Law
Judah Beard,ipsum@sollicitudinorcisem.ca,465-11-1209,1-848-756-5563,Amoxicillin,Married
Matthew Wooten,orci.adipiscing.non@utpellentesqueeget.org,745-98-1356,1-734-123-7291,Loestrin 24 Fe,Divorced
Seth Robles,dolor.egestas@Donecvitae.net,104-45-1682,1-499-190-6610,Januvia,Divorced
Gil Kirby,a@loremtristique.edu,361-32-3745,1-279-814-6889,Proair HFA,Single
Galvin Newman,Quisque@liberoestcongue.co.uk,341-49-5902,1-950-497-7612,Venlafaxine HCl ER,Single
Abraham Snow,sit@Donecdignissim.edu,310-23-3180,1-272-632-5626,Citalopram HBR,Married
Wallace Patton,nibh@atlibero.ca,527-88-6918,1-173-635-3896,Folic Acid,Married
Kenneth Cooper,tincidunt.neque@odioauctor.org,295-09-2351,1-651-662-5394,Tricor,Common-Law
Honorato Lang,tristique.aliquet.Phasellus@elit.net,258-14-9644,1-577-406-4191,Benicar,Single
Cade Simon,nec.malesuada@Morbiquisurna.net,698-02-6595,1-548-121-0603,Citalopram HBR,Divorced
Erasmus Mccoy,a@sed.edu,696-57-2730,1-840-132-9512,Alprazolam,Single
Christopher Everett,primis@risusatfringilla.org,532-13-8693,1-971-698-2621,Lisinopril,Married
Christopher Mcdaniel,Quisque.ac@vulputate.edu,240-13-1389,1-863-220-5930,Benicar,Common-Law
Sylvester Bradshaw,Quisque.ac.libero@temporloremeget.org,628-07-9670,1-235-948-9576,Lisinopril,Common-Law
Eric Santiago,adipiscing.elit.Etiam@nonlobortisquis.org,466-89-0140,1-936-204-7353,Lidoderm,Common-Law
Macon Pitts,enim.condimentum.eget@placerataugue.com,509-68-4790,1-715-160-3137,Triamcinolone Acetonide,Single
Silas Silva,Ut.tincidunt@ornare.ca,444-68-0450,1-724-181-8185,Metoprolol Tartrate ,Single
Daquan Hopper,amet@malesuadamalesuada.ca,395-09-1999,1-141-808-6884,LevothyroxineSodium,Common-Law
Gavin Henderson,dui@ridiculusmus.ca,430-67-4319,1-255-844-5604,Lyrica,Common-Law
Calvin Kline,dictum.sapien.Aenean@nislelementum.co.uk,701-19-0701,1-942-160-1635,Zolpidem Tartrate,Married
Omar Koch,faucibus.orci.luctus@aclibero.edu,655-05-5292,1-379-839-2819,Simvastatin,Single
