name,email,ssn,phone_number,drugs,marital status
Brian Bonilla,johnstewart@montoya.org,643-19-2478,(804)433-1033,APAP/Codeine,Married
Adam Clark,peter18@gmail.com,240-56-0081,(068)407-7212,Lovastatin,Married
Natalie Brown,paul28@payne.net,073-38-8728,+1-878-245-5746x5773,Triamterene/Hydrochlorothiazide,Common-Law
Brian Bonilla,johnstewart@montoya.org,643-19-2478,(804)433-1033,Amlodipine Besylate,Married
Carol Lewis,jenny53@moss.com,574-06-2618,001-087-462-1799,Simvastatin,Single
Stephen Edwards,william17@gmail.com,244-47-9764,001-199-973-4557x2380,Levothyroxine Sodium,Married
Lori Ayala,yfowler@hotmail.com,171-40-0585,+1-008-893-9752x309,Simvastatin,Common-Law
Ryan Moore,lisa80@carter.com,231-87-0027,017.269.6368x66091,Amlodipine Besylate,Married
Tammy Pennington,markwatson@yahoo.com,592-49-3514,202.956.9421,Carisoprodol,Divorced
Jason Carroll,larry13@smith.info,825-88-9505,+1-141-348-5445x302,Namenda,Married
Emily Perez,patrickbond@gmail.com,347-15-8741,(291)464-1977x8740,Sertraline HCl,Single
Chad Snyder,michael06@yahoo.com,645-25-8387,248.024.6778x95609,Gabapentin,Common-Law
Matthew Ryan,larryrodriguez@taylor-king.com,173-78-6475,001-116-864-8359,Risperidone,Common-Law
Mary Cantu,jessica76@coleman-wilson.com,226-93-1964,+1-091-781-2871x929,Metformin HCl,Single
Taylor Diaz,amandaweiss@morgan-smith.com,353-33-8224,(826)224-6374x46442,Cymbalta,Married
Anita Quinn,lcooper@yahoo.com,659-70-8014,897-687-5554x24455,Amoxicillin,Common-Law
Kim Hernandez,nicholasryan@hartman.com,838-84-1919,038.712.3551,Amoxicillin,Married
Richard Stokes,jonesmatthew@gray.com,867-04-4580,679-975-7786,Loestrin 24 Fe,Divorced
Ashley James,teresa10@brown.info,317-32-6947,5936464542,Januvia,Divorced
Charles Hall,stephen48@vega.biz,671-67-8750,(140)153-5968x266,Proair HFA,Single
Rachel White,marshjerry@gmail.com,173-22-1716,1744973548,Venlafaxine HCl ER,Single
Hannah Barry,barbaragonzalez@yahoo.com,570-53-2955,727-728-3535,Citalopram HBR,Married
Jeffrey Harris,robert52@davis.com,064-45-1944,+1-915-830-1460x6313,Folic Acid,Married
Olivia Jordan,hjordan@hotmail.com,347-66-0480,+1-260-486-0132x7242,Tricor,Common-Law
Angela Patel,nashkevin@hale.com,845-44-4333,001-640-446-2473x783,Benicar,Single
Angela Garcia,rholloway@gmail.com,786-21-8021,252.978.7331x687,Citalopram HBR,Divorced
Laura Woods,evangilbert@hotmail.com,346-95-5696,2220054048,Alprazolam,Single
Trevor Jones,lauren75@hotmail.com,494-38-5727,630.547.7660,Lisinopril,Married
Brian Thompson,tamara35@hall.biz,697-58-8608,145.503.8700x26724,Benicar,Common-Law
John Mayer,rodriguezsarah@ortiz.com,873-02-1823,085.920.9179x544,Lisinopril,Common-Law
Ruth Nunez,jhernandez@maldonado.com,177-07-1935,936.402.6508x2847,Lidoderm,Common-Law
Jason Hobbs,carmenharrell@parker.info,710-33-6570,142-501-7978,Triamcinolone Acetonide,Single
Derrick White,bking@robertson.com,567-85-0427,(068)034-3280x0382,Metoprolol Tartrate ,Single
